Station,Polymer,Depth_label,Timepoint,co2_average,co2_stdev,mean_delta_13C,sd_delta_13c,F_13C,CO2_mmol,atom_perct_13C,C13O2_atom_BG,D13C_CO2_perct,prod_13CO2_mmol,net_prod_13CO2_mmol
st04,PP,D01,t1,65.544,1.6303999509322857,94.85533333333333,1.5372944849095531,0.012092039394943027,0.06554399999999999,1.2092039394943026,1.1051750391791553,0.10402890031514733,6.818470242256015e-5,NA
st04,PP,D01,t2,66.345,0.09236882591004741,125.84599999999999,53.47693944122083,0.012430058771764018,0.066345,1.2430058771764019,1.1062126514954438,0.13679322568095809,9.075546557803165e-5,NA
st04,PP,D01,t3,57.117000000000004,4.6677329615135434,165.491,115.0584246893725,0.012862135052702764,0.057117,1.2862135052702763,1.105973204431934,0.18024030083834242,1.0294785262983603e-4,NA
st04,PP,D02,t1,63.72,2.6326038441056796,251.53333333333333,132.33199888663864,0.013798579339163676,0.06372,1.3798579339163677,1.1051750391791553,0.2746828947372124,1.7502794052655176e-4,NA
st04,PP,D02,t3,59.589,6.887775910988975,128.34166666666667,16.244177090063175,0.012457269280893486,0.059588999999999996,1.2457269280893486,1.105973204431934,0.13975372365741467,8.327784639021682e-5,NA
st04,PP,D02,t2,62.574,2.160493693580242,204.678,110.82814194508539,0.01328884836767705,0.062574,1.3288848367677049,1.1062126514954438,0.22267218527226107,1.3933489321226467e-4,NA
st04,PP,D03,t1,64.644,2.5814524981103157,89.33233333333334,0.984055045885817,0.012031774995168335,0.06464400000000001,1.2031774995168336,1.1051750391791553,0.09800246033767834,6.33527104606888e-5,NA
st04,PP,D03,t3,59.031,3.3909941020296683,133.94966666666667,14.98576662481213,0.012518408408845992,0.059031,1.2518408408845991,1.105973204431934,0.1458676364526652,8.61071244743728e-5,NA
st04,PP,D03,t2,63.438,0.6668710520033094,89.685,1.5639395768379323,0.012035623349086018,0.06343800000000001,1.2035623349086018,1.1062126514954438,0.09734968341315797,6.175669216363916e-5,NA
st04,PP,D04,t1,63.59625,1.7411433743376765,99.0865,15.824617120170716,0.012138202938505318,0.063596249999999993,1.2138202938505318,1.1051750391791553,0.10864525467137653,6.90943077739453e-5,NA
st04,PP,D04,t3,64.97999999999999,4.286466726804257,90.139,2.1726948704316533,0.012040577424073206,0.06498,1.2040577424073207,1.105973204431934,0.09808453797538674,6.37353327764063e-5,NA
st04,PP,D04,t2,66.96600000000001,2.1246926836603945,107.48266666666667,31.59247192502248,0.012229795349982664,0.06696600000000001,1.2229795349982664,1.1062126514954438,0.1167668835028226,7.81941112065002e-5,NA
st04,PP,D05,t1,62.97,0.6953531476882822,227.63,149.52011553299442,0.013538604980442816,0.06297,1.3538604980442817,1.1051750391791553,0.24868545886512639,1.5659723344737007e-4,NA
st04,PP,D05,t3,64.257,2.870002961670943,277.15866666666665,8.551544558343437,0.014077130144309674,0.06425700000000001,1.4077130144309673,1.105973204431934,0.3017398099990334,1.938889497110789e-4,NA
st04,PP,D05,t2,65.994,1.736657997419181,236.36733333333333,83.04258452344396,0.013633648733436437,0.065994,1.3633648733436436,1.1062126514954438,0.25715222184819986,1.6970503728650098e-4,NA
st04,PP,D06,t1,61.587,1.674967462370538,150.48733333333334,44.695034011994366,0.012698660079618585,0.061587,1.2698660079618584,1.1051750391791553,0.16469096878270317,1.0142822694420341e-4,NA
st04,PP,D06,t3,60.0345,5.477432336414572,105.0115,131.3104384515311,0.012202839560093638,0.060034500000000005,1.220283956009364,1.105973204431934,0.11431075157742998,6.86258881557522e-5,NA
st04,PP,D06,t2,67.14,0.7427590457207491,227.965,54.661379153841324,0.013542249411344687,0.06714,1.3542249411344687,1.1062126514954438,0.24801228963902489,1.665154512636413e-4,NA
st04,PP,D07,t1,64.30799999999999,2.2325866164608272,210.96933333333334,125.8304733255555,0.01335732130528391,0.06430799999999999,1.335732130528391,1.1051750391791553,0.23055709134923563,1.4826665430486642e-4,NA
st04,PP,D07,t3,64.095,2.685174296018787,183.62800000000001,6.874869307848686,0.01305967752602972,0.064095,1.305967752602972,1.105973204431934,0.19999454817103812,1.2818650565022687e-4,NA
st04,PP,D07,t2,67.302,2.1516777175032504,182.565,61.25267439875585,0.013048101847053245,0.067302,1.3048101847053244,1.1062126514954438,0.1985975332098806,1.3366011180091384e-4,NA
st04,PP,D08,t1,63.156,1.9029272187868873,170.36033333333333,129.49393499439788,0.012915178057798297,0.063156,1.2915178057798298,1.1051750391791553,0.1863427666006745,1.1768663767432201e-4,NA
st04,PP,D08,t3,62.79,1.6854367386526286,138.07999999999998,10.49431050617429,0.01256343298641129,0.06279,1.2563432986411291,1.105973204431934,0.15037009420919523,9.441738215395369e-5,NA
st04,PP,D08,t2,61.224,6.514348547629299,130.41,25.97759875354149,0.012479819394658311,0.061223999999999994,1.2479819394658311,1.1062126514954438,0.14176928797038735,8.679682886698994e-5,NA
st04,PP,D09,t1,65.78999999999999,17.426507825723434,155.089,78.57482825943687,0.012748804068824105,0.06578999999999999,1.2748804068824104,1.1051750391791553,0.16970536770325517,1.1164916141197156e-4,NA
st04,PP,D09,t3,66.231,3.9494210968191243,157.37733333333333,6.274804326298417,0.012773737955733723,0.066231,1.2773737955733724,1.105973204431934,0.17140059114143846,1.135203255188861e-4,NA
st04,PP,D09,t2,62.673,6.7672359941116325,179.81233333333333,94.96392654757558,0.013018125057580045,0.062673,1.3018125057580046,1.1062126514954438,0.19559985426256077,1.2258829666197472e-4,NA
st04,PP,-,t0,55.656,2.913841214788479,296.6426,17.296622800419733,0.01428881782718101,0.055656,1.428881782718101,1.1053131700701888,0.32356861264791226,1.8008534705532206e-4,NA
st04,PP,D10,t1,55.77,0.970721381241808,170.779,125.03414464857188,0.012919738444349666,0.05577,1.2919738444349667,1.1051750391791553,0.18679880525581138,1.04177693691166e-4,NA
st04,PP,D10,t3,63.825,1.8007723343054787,164.174,37.647141976516615,0.012847787625188244,0.063825,1.2847787625188245,1.105973204431934,0.17880555808689058,1.1412264744895792e-4,NA
st04,PP,D10,t2,57.015,2.3952684609454513,115.17933333333333,6.596206814020714,0.012313742110492949,0.057015,1.231374211049295,1.1062126514954438,0.1251615595538511,7.136086317962822e-5,NA
st11,PP,D01,t1,62.283,2.287741462665743,132.547,48.34799548068151,0.012503117068723946,0.062283,1.2503117068723946,1.104420597164388,0.14589110970800667,9.08653598594378e-5,NA
st11,PP,D02,t1,67.674,2.6119285977989564,135.64566666666667,57.56413092658772,0.012536896925270184,0.06767400000000001,1.2536896925270185,1.104420597164388,0.14926909536263056,1.0101636759570662e-4,NA
st11,PP,D01,t2,63.525,0.622910105874037,274.19033333333334,6.481575142921156,0.01404487202156403,0.063525,1.404487202156403,1.1594850179758496,0.24500218418055342,1.5563763750069655e-4,NA
st11,PP,D02,t2,61.62,0.4284541982522752,281.27866666666665,4.80369965061651,0.01412190041355442,0.061619999999999994,1.412190041355442,1.1594850179758496,0.25270502337959244,1.5571683540650485e-4,NA
st11,PP,D01,t3,48.624651,32.389906795160805,NA,NA,NA,0.048624651,NA,1.1067720857018228,NA,NA,NA
st11,PP,D02,t3,63.045,2.5646210246350227,350.54633333333334,4.474949869365387,0.014873994011296313,0.063045,1.4873994011296312,1.1067720857018228,0.38062731542780837,2.399664910114618e-4,NA
st04,PE,-,t0,62.3592,2.193447902276233,301.1814,13.566062004133713,0.01433811761174482,0.062359200000000004,1.433811761174482,1.1053131700701888,0.32849859110429325,2.0484909342390845e-4,NA
st04,PE,D03,t1,62.418,2.0140772080533607,140.91633333333334,1.5160311122577101,0.012594349350516447,0.062418,1.2594349350516447,1.1051750391791553,0.15425989587248945,9.628594180569046e-5,NA
st04,PE,D03,t2,63.444,0.9068290908434711,155.488,20.617310008825104,0.012753151699559038,0.063444,1.2753151699559038,1.1062126514954438,0.16910251846045998,1.0728540181205424e-4,NA
st11,PE,-,t0,60.321,1.6459012728593392,149.799,1.0998213491290285,0.012691158929036155,0.060321,1.2691158929036155,NA,NA,NA,NA
st11,PE,D01,t1,63.702,1.278760337201617,214.62533333333334,106.39169246390122,0.013397107719435714,0.063702,1.3397107719435715,1.104420597164388,0.23529017477918357,1.498845471378355e-4,NA
st11,PE,D02,t1,61.701,1.4632498077908649,152.663,2.3205479956251813,0.012722368778008518,0.061701,1.272236877800852,1.104420597164388,0.16781628063646403,1.0354432331550467e-4,NA
st11,PE,D01,t2,65.604,1.7400827566526869,292.8536666666667,12.135706420861258,0.014247659208183319,0.065604,1.4247659208183319,1.1594850179758496,0.2652809028424823,1.7403488350078208e-4,NA
st11,PE,D02,t2,63.123000000000005,2.63374714048255,282.6963333333333,3.0453345191182533,0.014137304647680574,0.063123,1.4137304647680573,1.1594850179758496,0.25424544679220773,1.6048735337864529e-4,NA
st11,PE,D01,t3,62.394,1.6230055452770307,361.01966666666664,5.44726668461656,0.014987611381492773,0.062394,1.4987611381492774,1.1067720857018228,0.3919890524474545,2.445776493840648e-4,NA
st11,PE,D02,t3,63.846000000000004,1.7954718042898956,358.07166666666666,7.560812147734737,0.014955633381824733,0.063846,1.4955633381824733,1.1067720857018228,0.3887912524806505,2.4822766305879614e-4,NA
st04,PE,D03,t3,62.094,0.5706548869500715,221.00333333333333,15.722057573146506,0.013466508613098557,0.062094,1.3466508613098556,1.105973204431934,0.24067765687792164,1.494463842617767e-4,NA
st04,PE,D10,t1,60.456,1.8849002626133833,164.9286666666667,13.966680361966239,0.012856009031787734,0.060456,1.2856009031787734,1.1051750391791553,0.18042586399961813,1.0907826033960915e-4,NA
st04,PE,D10,t2,61.851,0.9612039325762223,273.4463333333333,5.197316358788777,0.014036786330805736,0.061850999999999996,1.4036786330805735,1.1062126514954438,0.2974659815851297,1.8398568427021857e-4,NA
st04,PE,D10,t3,61.905,3.6271823775487206,319.3856666666667,7.132539893567607,0.014535800160724534,0.061905,1.4535800160724535,1.105973204431934,0.34760681164051954,2.1518599674606362e-4,NA
st04,PE,D09,t1,65.06700000000001,1.1208282651682222,162.54433333333333,10.548716004013638,0.012830033422653854,0.06506700000000001,1.2830033422653855,1.1051750391791553,0.1778283030862302,1.1570754196911743e-4,NA
st04,PE,D09,t2,65.892,6.042857188449847,260.7076666666667,73.49876386262108,0.013898323657448476,0.06589199999999999,1.3898323657448477,1.1062126514954438,0.2836197142494039,1.868827021132172e-4,NA
st04,PE,D09,t3,65.06099999999999,4.294452584439602,216.92566666666667,13.626968750728581,0.013422139448672012,0.065061,1.3422139448672012,1.105973204431934,0.23624074043526733,1.5370058813458926e-4,NA
st04,PE,D08,t1,63.387,0.27238942710758635,0.25433333333333336,0.1852088910752757,0.011058780813044341,0.063387,1.105878081304434,1.1051750391791553,7.030421252787189e-4,4.456373119504216e-7,NA
st04,PE,D08,t2,60.543,1.9065772997704555,214.52433333333332,1.312038998404137,0.01339600863019544,0.060543,1.339600863019544,1.1062126514954438,0.23338821152410016,1.4130022490303597e-4,NA
st04,PE,D08,t3,61.236,0.8958052243652096,241.807,2.367521700006146,0.013692811580421266,0.061236,1.3692811580421265,1.105973204431934,0.26330795361019255,1.612392584727375e-4,NA
st04,PE,D07,t1,64.176,3.4336189363410696,233.5593333333333,47.04517905517346,0.01360310561486035,0.064176,1.360310561486035,1.1051750391791553,0.25513552230687964,1.6373577279566308e-4,NA
st04,PE,D07,t2,62.268,0.9068290908434739,NA,NA,NA,0.062268000000000004,NA,1.1062126514954438,NA,NA,NA
st04,PE,D07,t3,61.731,1.4591939555795852,NA,NA,NA,0.061731,NA,1.105973204431934,NA,NA,NA
