Sample ID,Cruise ID,Station,Polymer,Depth_label,Depth(m),Timepoint,replicate_timepoint,incubation_time(hours),Date_inject,volume_inject_uL,Area,CO2_area_nmol,headspace_volume,CO2_in_bottle_umol,delta_13C
N2104016,PE480,st04,background,-,10,t0,1,0,4/9/2021,50,3190.4,72.1,45,64.89,0.035
N2104017,PE480,st04,background,-,10,t0,2,0,4/9/2021,20,891.7,20.15,45,45.3375,-0.341
N2104018,PE480,st04,background,-,10,t0,3,0,4/9/2021,20,1082.4,24.46,45,55.035,-0.481
N2104230,PE480,st11,background,-,,t0,1,0,6/7/2021,50,2920.7,66.01,45,59.409,-0.654
N2104231,PE480,st11,background,-,,t0,2,0,6/7/2021,50,3045,68.82,45,61.938,-0.654
N2104232,PE480,st11,background,-,,t0,3,0,6/7/2021,50,2979.1,67.33,45,60.597,-0.654
N2104164,PE480,st04,background,-,,t1,1,24,4/16/2021,50,3393,76.68,45,69.012,-0.808
N2104165,PE480,st04,background,-,,t1,2,24,4/16/2021,50,2813.9,63.59,45,57.231,0.021
N2104166,PE480,st04,background,-,,t1,3,24,4/16/2021,50,3141.2,70.99,45,63.891,-0.379
N2104233,PE480,st11,background,-,,t1,1,24,6/7/2021,50,3090.6,69.85,45,62.865,-0.902
N2104234,PE480,st11,background,-,,t1,2,24,6/7/2021,50,2927.6,66.16,45,59.544,-1.23
N2104235,PE480,st11,background,-,,t1,3,24,6/7/2021,50,3046.6,68.85,45,61.965,-1.104
N2104085,PE480,st04,PP,D01,,t1,1,24,4/14/2021,50,3280.4,74.14,45,66.726,93.173
N2104087,PE480,st04,PP,D01,,t1,2,24,4/14/2021,50,3131.1,70.76,45,63.684,96.187
N2104089,PE480,st04,PP,D01,,t1,3,24,4/14/2021,50,3255.7,73.58,45,66.222,95.206
N2104161,PE480,st04,PP,D01,,t2,1,72,4/16/2021,50,3266.6,73.83,45,66.447,92.978
N2104162,PE480,st04,PP,D01,,t2,2,72,4/16/2021,50,3257.8,73.63,45,66.267,187.552
N2104163,PE480,st04,PP,D01,,t2,3,72,4/16/2021,50,3260.6,73.69,45,66.321,97.008
N2104130,PE480,st04,PP,D01,,t3,1,144,4/15/2021,50,3006.2,67.94,45,61.146,100.857
N2104131,PE480,st04,PP,D01,,t3,2,144,4/15/2021,50,2861.4,64.67,45,58.203,298.333
N2104132,PE480,st04,PP,D01,,t3,3,144,4/15/2021,50,2556.7,57.78,45,52.002,97.283
N2104082,PE480,st04,PP,D02,,t1,1,24,4/13/2021,50,3131.6,70.77,45,63.693,335.296
N2104083,PE480,st04,PP,D02,,t1,2,24,4/13/2021,50,3262.9,73.74,45,66.366,320.33
N2104084,PE480,st04,PP,D02,,t1,3,24,4/13/2021,50,3003.9,67.89,45,61.101,98.974
N2104127,PE480,st04,PP,D02,,t3,1,144,4/15/2021,50,3223.4,72.85,45,65.565,117.925
N2104128,PE480,st04,PP,D02,,t3,2,144,4/15/2021,50,2559.1,57.84,45,52.056,120.041
N2104129,PE480,st04,PP,D02,,t3,3,144,4/15/2021,50,3006.1,67.94,45,61.146,147.059
N2104158,PE480,st04,PP,D02,,t2,1,72,4/16/2021,50,2962.2,66.95,45,60.255,100.825
N2104159,PE480,st04,PP,D02,,t2,2,72,4/16/2021,50,3172.6,71.7,45,64.53,321.364
N2104160,PE480,st04,PP,D02,,t2,3,72,4/16/2021,50,3094.2,69.93,45,62.937,191.845
N2104078,PE480,st04,PP,D03,,t1,1,24,4/13/2021,50,3043.7,68.79,45,61.911,90.19
N2104080,PE480,st04,PP,D03,,t1,2,24,4/13/2021,50,3296.1,74.49,45,67.041,89.549
N2104081,PE480,st04,PP,D03,,t1,3,24,4/13/2021,50,3194.5,72.2,45,64.98,88.258
N2104124,PE480,st04,PP,D03,,t3,1,144,4/15/2021,50,2709.6,61.24,45,55.116,151.237
N2104125,PE480,st04,PP,D03,,t3,2,144,4/15/2021,50,2995.5,67.7,45,60.93,124.647
N2104126,PE480,st04,PP,D03,,t3,3,144,4/15/2021,50,3001.4,67.83,45,61.047,125.965
N2104155,PE480,st04,PP,D03,,t2,1,72,4/16/2021,50,3154.4,71.29,45,64.161,89.282
N2104156,PE480,st04,PP,D03,,t2,2,72,4/16/2021,50,3112.3,70.34,45,63.306,88.362
N2104157,PE480,st04,PP,D03,,t2,3,72,4/16/2021,50,3090,69.83,45,62.847,91.411
N2104074,PE480,st04,PP,D04,,t1,1,24,4/13/2021,50,3088.5,69.8,45,62.82,89.947
N2104075,PE480,st04,PP,D04,,t1,2,24,4/13/2021,50,3254.9,73.56,45,66.204,122.787
N2104076,PE480,st04,PP,D04,,t1,3,24,4/13/2021,50,3085.9,69.74,45,62.766,91.806
N2104077,PE480,st04,PP,D04,,t1,3,24,4/13/2021,50,3077.5,69.55,45,62.595,91.806
N2104121,PE480,st04,PP,D04,,t3,1,144,4/15/2021,50,3011.8,68.07,45,61.263,92.641
N2104122,PE480,st04,PP,D04,,t3,2,144,4/15/2021,50,3146.8,71.12,45,64.008,89.048
N2104123,PE480,st04,PP,D04,,t3,3,144,4/15/2021,50,3425.4,77.41,45,69.669,88.728
N2104151,PE480,st04,PP,D04,,t2,1,72,4/16/2021,50,3172.1,71.69,45,64.521,143.948
N2104152,PE480,st04,PP,D04,,t2,2,72,4/16/2021,50,3361.1,75.96,45,68.364,90.141
N2104153,PE480,st04,PP,D04,,t2,3,72,4/16/2021,50,3344,75.57,45,68.013,88.359
N2104068,PE480,st04,PP,D05,,t1,1,24,4/13/2021,50,3099.3,70.04,45,63.036,330.285
