Sample ID,Cruise ID,Station,Polymer,Depth_label,Depth(m),Timepoint,replicate_timepoint,incubation_time(hours),Date_inject,volume_inject_uL,Area,CO2_area_nmol,headspace_volume,CO2_in_bottle_umol,delta_13C,co2_average,co2_stdev,mean_delta_13C,sd_delta_13c
N2104212,PE480,st11,PE,D02,NA,t1,1,24,6/7/2021,50,2955.2,66.79,45,60.111,155.342,61.701,1.4632498077908649,152.663,2.3205479956251813
N2104213,PE480,st11,PE,D02,NA,t1,2,24,6/7/2021,50,3097,69.99,45,62.991,151.277,61.701,1.4632498077908649,152.663,2.3205479956251813
N2104214,PE480,st11,PE,D02,NA,t1,3,24,6/7/2021,50,3048.3,68.89,45,62.001,151.37,61.701,1.4632498077908649,152.663,2.3205479956251813
N2104215,PE480,st11,PE,D01,NA,t2,1,72,6/7/2021,50,3324.1,75.12,45,67.608,278.975,65.604,1.7400827566526869,292.8536666666667,12.135706420861258
N2104216,PE480,st11,PE,D01,NA,t2,2,72,6/7/2021,50,3170.1,71.64,45,64.476,298.116,65.604,1.7400827566526869,292.8536666666667,12.135706420861258
N2104217,PE480,st11,PE,D01,NA,t2,3,72,6/7/2021,50,3182.2,71.92,45,64.728,301.47,65.604,1.7400827566526869,292.8536666666667,12.135706420861258
N2104218,PE480,st11,PE,D02,NA,t2,1,72,6/7/2021,50,3050.9,68.95,45,62.055,280.716,63.123000000000005,2.63374714048255,282.6963333333333,3.0453345191182533
N2104219,PE480,st11,PE,D02,NA,t2,2,72,6/7/2021,50,3250.9,73.47,45,66.123,281.17,63.123000000000005,2.63374714048255,282.6963333333333,3.0453345191182533
N2104220,PE480,st11,PE,D02,NA,t2,3,72,6/7/2021,50,3008.2,67.99,45,61.191,286.203,63.123000000000005,2.63374714048255,282.6963333333333,3.0453345191182533
N2104221,PE480,st11,PE,D01,NA,t3,1,144,6/7/2021,50,2990.8,67.59,45,60.831,366.709,62.394,1.6230055452770307,361.01966666666664,5.44726668461656
N2104222,PE480,st11,PE,D01,NA,t3,2,144,6/7/2021,50,3150.2,71.19,45,64.071,355.852,62.394,1.6230055452770307,361.01966666666664,5.44726668461656
N2104223,PE480,st11,PE,D01,NA,t3,3,144,6/7/2021,50,3061.8,69.2,45,62.28,360.498,62.394,1.6230055452770307,361.01966666666664,5.44726668461656
N2104224,PE480,st11,PE,D02,NA,t3,1,144,6/7/2021,50,3056.1,69.07,45,62.163,363.966,63.846000000000004,1.7954718042898956,358.07166666666666,7.560812147734737
N2104225,PE480,st11,PE,D02,NA,t3,2,144,6/7/2021,50,3128.7,70.71,45,63.639,360.702,63.846000000000004,1.7954718042898956,358.07166666666666,7.560812147734737
N2104226,PE480,st11,PE,D02,NA,t3,3,144,6/7/2021,50,3232,73.04,45,65.736,349.547,63.846000000000004,1.7954718042898956,358.07166666666666,7.560812147734737
N2104261,PE480,st04,PE,D03,NA,t2,3,NA,6/8/2021,50,3110.9,70.31,45,63.279,147.624,63.444,0.9068290908434711,155.488,20.617310008825104
N2104274,PE480,st04,PE,D03,NA,t3,1,NA,6/8/2021,50,3083.7,69.69,45,62.721,239.089,62.094,0.5706548869500715,221.00333333333333,15.722057573146506
N2104275,PE480,st04,PE,D03,NA,t3,2,NA,6/8/2021,50,3045.9,68.84,45,61.956,210.595,62.094,0.5706548869500715,221.00333333333333,15.722057573146506
N2104276,PE480,st04,PE,D03,NA,t3,3,NA,6/8/2021,50,3028.6,68.45,45,61.605,213.326,62.094,0.5706548869500715,221.00333333333333,15.722057573146506
N2104199,PE480,st04,PE,D10,NA,t1,1,24,4/22/2021,50,3040.7,68.72,45,61.848,181.056,60.456,1.8849002626133833,164.9286666666667,13.966680361966239
N2104200,PE480,st04,PE,D10,NA,t1,2,24,4/22/2021,50,3009.3,68.01,45,61.209,156.865,60.456,1.8849002626133833,164.9286666666667,13.966680361966239
N2104201,PE480,st04,PE,D10,NA,t1,3,24,4/22/2021,50,2867,64.79,45,58.311,156.865,60.456,1.8849002626133833,164.9286666666667,13.966680361966239
N2104247,PE480,st04,PE,D10,NA,t2,1,NA,6/8/2021,50,3008.8,68,45,61.2,267.813,61.851,0.9612039325762223,273.4463333333333,5.197316358788777
N2104248,PE480,st04,PE,D10,NA,t2,2,NA,6/8/2021,50,3018.7,68.22,45,61.398,274.471,61.851,0.9612039325762223,273.4463333333333,5.197316358788777
N2104249,PE480,st04,PE,D10,NA,t2,3,NA,6/8/2021,50,3095.2,69.95,45,62.955,278.055,61.851,0.9612039325762223,273.4463333333333,5.197316358788777
N2104262,PE480,st04,PE,D10,NA,t3,1,NA,6/8/2021,50,2897,65.47,45,58.923,312.203,61.905,3.6271823775487206,319.3856666666667,7.132539893567607
N2104263,PE480,st04,PE,D10,NA,t3,2,NA,6/8/2021,50,3242,73.27,45,65.943,319.487,61.905,3.6271823775487206,319.3856666666667,7.132539893567607
N2104264,PE480,st04,PE,D10,NA,t3,3,NA,6/8/2021,50,2991.7,67.61,45,60.849,326.467,61.905,3.6271823775487206,319.3856666666667,7.132539893567607
N2104202,PE480,st04,PE,D09,NA,t1,1,24,4/22/2021,50,3251.1,73.47,45,66.123,158.017,65.06700000000001,1.1208282651682222,162.54433333333333,10.548716004013638
N2104203,PE480,st04,PE,D09,NA,t1,2,24,4/22/2021,50,3204.8,72.43,45,65.187,155.015,65.06700000000001,1.1208282651682222,162.54433333333333,10.548716004013638
N2104204,PE480,st04,PE,D09,NA,t1,3,24,4/22/2021,50,3141,70.99,45,63.891,174.601,65.06700000000001,1.1208282651682222,162.54433333333333,10.548716004013638
N2104250,PE480,st04,PE,D09,NA,t2,1,NA,6/8/2021,50,3003.2,67.87,45,61.083,323.981,65.892,6.042857188449847,260.7076666666667,73.49876386262108
N2104251,PE480,st04,PE,D09,NA,t2,2,NA,6/8/2021,50,3573,80.75,45,72.675,278.055,65.892,6.042857188449847,260.7076666666667,73.49876386262108
N2104252,PE480,st04,PE,D09,NA,t2,3,NA,6/8/2021,50,3142.4,71.02,45,63.918,180.087,65.892,6.042857188449847,260.7076666666667,73.49876386262108
N2104265,PE480,st04,PE,D09,NA,t3,1,NA,6/8/2021,50,3348,75.66,45,68.094,231.679,65.06099999999999,4.294452584439602,216.92566666666667,13.626968750728581
N2104266,PE480,st04,PE,D09,NA,t3,2,NA,6/8/2021,50,2957.2,66.83,45,60.147,214.287,65.06099999999999,4.294452584439602,216.92566666666667,13.626968750728581
N2104267,PE480,st04,PE,D09,NA,t3,3,NA,6/8/2021,50,3291,74.38,45,66.942,204.811,65.06099999999999,4.294452584439602,216.92566666666667,13.626968750728581
N2104205,PE480,st04,PE,D08,NA,t1,1,24,4/22/2021,50,3120.8,70.53,45,63.477,0.393,63.387,0.27238942710758635,0.25433333333333336,0.1852088910752757
N2104206,PE480,st04,PE,D08,NA,t1,2,24,4/22/2021,50,3101.5,70.09,45,63.081,0.326,63.387,0.27238942710758635,0.25433333333333336,0.1852088910752757
N2104207,PE480,st04,PE,D08,NA,t1,3,24,4/22/2021,50,3127.1,70.67,45,63.603,0.044,63.387,0.27238942710758635,0.25433333333333336,0.1852088910752757
N2104253,PE480,st04,PE,D08,NA,t2,1,NA,6/8/2021,50,3037,68.64,45,61.776,214.844,60.543,1.9065772997704555,214.52433333333332,1.312038998404137
N2104254,PE480,st04,PE,D08,NA,t2,2,NA,6/8/2021,50,2868.8,64.83,45,58.347,215.647,60.543,1.9065772997704555,214.52433333333332,1.312038998404137
N2104255,PE480,st04,PE,D08,NA,t2,3,NA,6/8/2021,50,3024,68.34,45,61.506,213.082,60.543,1.9065772997704555,214.52433333333332,1.312038998404137
N2104268,PE480,st04,PE,D08,NA,t3,1,NA,6/8/2021,50,2965.9,67.03,45,60.327,243.42,61.236,0.8958052243652096,241.807,2.367521700006146
N2104269,PE480,st04,PE,D08,NA,t3,2,NA,6/8/2021,50,3054.1,69.02,45,62.118,242.912,61.236,0.8958052243652096,241.807,2.367521700006146
N2104270,PE480,st04,PE,D08,NA,t3,3,NA,6/8/2021,50,3011.9,68.07,45,61.263,239.089,61.236,0.8958052243652096,241.807,2.367521700006146
N2104208,PE480,st04,PE,D07,NA,t1,1,24,4/22/2021,50,3350.2,75.71,45,68.139,287.364,64.176,3.4336189363410696,233.5593333333333,47.04517905517346
N2104242,PE480,st04,PE,D07,NA,t1,2,NA,6/8/2021,50,3052.5,68.99,45,62.091,200.173,64.176,3.4336189363410696,233.5593333333333,47.04517905517346
N2104243,PE480,st04,PE,D07,NA,t1,3,NA,6/8/2021,50,3062.9,69.22,45,62.298,213.141,64.176,3.4336189363410696,233.5593333333333,47.04517905517346
N2104256,PE480,st04,PE,D07,NA,t2,1,NA,6/8/2021,50,3096,69.97,45,62.973,NA,62.268,0.9068290908434739,NA,NA
N2104257,PE480,st04,PE,D07,NA,t2,2,NA,6/8/2021,50,3011.1,68.05,45,61.245,NA,62.268,0.9068290908434739,NA,NA
N2104258,PE480,st04,PE,D07,NA,t2,3,NA,6/8/2021,50,3077,69.54,45,62.586,NA,62.268,0.9068290908434739,NA,NA
N2104271,PE480,st04,PE,D07,NA,t3,1,NA,6/8/2021,50,3058.5,69.12,45,62.208,NA,61.731,1.4591939555795852,NA,NA
N2104272,PE480,st04,PE,D07,NA,t3,2,NA,6/8/2021,50,2954.6,66.77,45,60.093,NA,61.731,1.4591939555795852,NA,NA
N2104273,PE480,st04,PE,D07,NA,t3,3,NA,6/8/2021,50,3091.9,69.88,45,62.892,NA,61.731,1.4591939555795852,NA,NA
