Sample ID,Cruise ID,Station,Polymer,Depth_label,Depth(m),Timepoint,replicate_timepoint,incubation_time(hours),Date_inject,volume_inject_uL,Area,CO2_area_nmol,headspace_volume,CO2_in_bottle_umol,delta_13C,co2_average,co2_stdev,mean_delta_13C,sd_delta_13c
N2104155,PE480,st04,PP,D03,NA,t2,1,72,4/16/2021,50,3154.4,71.29,45,64.161,89.282,63.438,0.6668710520033094,89.685,1.5639395768379323
N2104156,PE480,st04,PP,D03,NA,t2,2,72,4/16/2021,50,3112.3,70.34,45,63.306,88.362,63.438,0.6668710520033094,89.685,1.5639395768379323
N2104157,PE480,st04,PP,D03,NA,t2,3,72,4/16/2021,50,3090,69.83,45,62.847,91.411,63.438,0.6668710520033094,89.685,1.5639395768379323
N2104074,PE480,st04,PP,D04,NA,t1,1,24,4/13/2021,50,3088.5,69.8,45,62.82,89.947,63.59625,1.7411433743376765,99.0865,15.824617120170716
N2104075,PE480,st04,PP,D04,NA,t1,2,24,4/13/2021,50,3254.9,73.56,45,66.204,122.787,63.59625,1.7411433743376765,99.0865,15.824617120170716
N2104076,PE480,st04,PP,D04,NA,t1,3,24,4/13/2021,50,3085.9,69.74,45,62.766,91.806,63.59625,1.7411433743376765,99.0865,15.824617120170716
N2104077,PE480,st04,PP,D04,NA,t1,3,24,4/13/2021,50,3077.5,69.55,45,62.595,91.806,63.59625,1.7411433743376765,99.0865,15.824617120170716
N2104121,PE480,st04,PP,D04,NA,t3,1,144,4/15/2021,50,3011.8,68.07,45,61.263,92.641,64.97999999999999,4.286466726804257,90.139,2.1726948704316533
N2104122,PE480,st04,PP,D04,NA,t3,2,144,4/15/2021,50,3146.8,71.12,45,64.008,89.048,64.97999999999999,4.286466726804257,90.139,2.1726948704316533
N2104123,PE480,st04,PP,D04,NA,t3,3,144,4/15/2021,50,3425.4,77.41,45,69.669,88.728,64.97999999999999,4.286466726804257,90.139,2.1726948704316533
N2104151,PE480,st04,PP,D04,NA,t2,1,72,4/16/2021,50,3172.1,71.69,45,64.521,143.948,66.96600000000001,2.1246926836603945,107.48266666666667,31.59247192502248
