Station,Polymer,Depth_label,Timepoint,co2_average,co2_stdev,mean_delta_13C,sd_delta_13c,F_13C,CO2_mmol,atom_perct_13C
st04,background,-,t0,55.0875,9.77635572439956,-0.2623333333333333,0.266843274851238,0.011053131700698242,0.0550875,1.1053131700698242
st11,background,-,t0,60.648,1.2652711171918865,NA,NA,NA,0.060648,NA
st04,background,-,t1,63.378,5.907230061543227,-0.38866666666666666,0.41458453098654485,0.011051750391795198,0.063378,1.1051750391795199
st11,background,-,t1,61.458,1.7175700859062522,-1.0786666666666667,0.16546097223615402,0.011044205971647523,0.061458,1.1044205971647523
st04,PP,D01,t1,65.544,1.6303999509322857,94.85533333333333,1.5372944849095531,0.012092039394943027,0.06554399999999999,1.2092039394943026
st04,PP,D01,t2,66.345,0.09236882591004741,125.84599999999999,53.47693944122083,0.012430058771764018,0.066345,1.2430058771764019
st04,PP,D01,t3,57.117000000000004,4.6677329615135434,165.491,115.0584246893725,0.012862135052702764,0.057117,1.2862135052702763
st04,PP,D02,t1,63.72,2.6326038441056796,251.53333333333333,132.33199888663864,0.013798579339163676,0.06372,1.3798579339163677
st04,PP,D02,t3,59.589,6.887775910988975,128.34166666666667,16.244177090063175,0.012457269280893486,0.059588999999999996,1.2457269280893486
st04,PP,D02,t2,62.574,2.160493693580242,204.678,110.82814194508539,0.01328884836767705,0.062574,1.3288848367677049
st04,PP,D03,t1,64.644,2.5814524981103157,89.33233333333334,0.984055045885817,0.012031774995168335,0.06464400000000001,1.2031774995168336
st04,PP,D03,t3,59.031,3.3909941020296683,133.94966666666667,14.98576662481213,0.012518408408845992,0.059031,1.2518408408845991
st04,PP,D03,t2,63.438,0.6668710520033094,89.685,1.5639395768379323,0.012035623349086018,0.06343800000000001,1.2035623349086018
st04,PP,D04,t1,63.59625,1.7411433743376765,99.0865,15.824617120170716,0.012138202938505318,0.063596249999999993,1.2138202938505318
st04,PP,D04,t3,64.97999999999999,4.286466726804257,90.139,2.1726948704316533,0.012040577424073206,0.06498,1.2040577424073207
st04,PP,D04,t2,66.96600000000001,2.1246926836603945,107.48266666666667,31.59247192502248,0.012229795349982664,0.06696600000000001,1.2229795349982664
st04,PP,D05,t1,62.97,0.6953531476882822,227.63,149.52011553299442,0.013538604980442816,0.06297,1.3538604980442817
st04,PP,D05,t3,64.257,2.870002961670943,277.15866666666665,8.551544558343437,0.014077130144309674,0.06425700000000001,1.4077130144309673
st04,PP,D05,t2,65.994,1.736657997419181,236.36733333333333,83.04258452344396,0.013633648733436437,0.065994,1.3633648733436436
st04,PP,D06,t1,61.587,1.674967462370538,150.48733333333334,44.695034011994366,0.012698660079618585,0.061587,1.2698660079618584
st04,PP,D06,t3,60.0345,5.477432336414572,105.0115,131.3104384515311,0.012202839560093638,0.060034500000000005,1.220283956009364
st04,PP,D06,t2,67.14,0.7427590457207491,227.965,54.661379153841324,0.013542249411344687,0.06714,1.3542249411344687
st04,PP,D07,t1,64.30799999999999,2.2325866164608272,210.96933333333334,125.8304733255555,0.01335732130528391,0.06430799999999999,1.335732130528391
st04,PP,D07,t3,64.095,2.685174296018787,183.62800000000001,6.874869307848686,0.01305967752602972,0.064095,1.305967752602972
st04,PP,D07,t2,67.302,2.1516777175032504,182.565,61.25267439875585,0.013048101847053245,0.067302,1.3048101847053244
st04,PP,D08,t1,63.156,1.9029272187868873,170.36033333333333,129.49393499439788,0.012915178057798297,0.063156,1.2915178057798298
st04,PP,D08,t3,62.79,1.6854367386526286,138.07999999999998,10.49431050617429,0.01256343298641129,0.06279,1.2563432986411291
st04,PP,D08,t2,61.224,6.514348547629299,130.41,25.97759875354149,0.012479819394658311,0.061223999999999994,1.2479819394658311
st04,PP,D09,t1,65.78999999999999,17.426507825723434,155.089,78.57482825943687,0.012748804068824105,0.06578999999999999,1.2748804068824104
st04,PP,D09,t3,66.231,3.9494210968191243,157.37733333333333,6.274804326298417,0.012773737955733723,0.066231,1.2773737955733724
st04,PP,D09,t2,62.673,6.7672359941116325,179.81233333333333,94.96392654757558,0.013018125057580045,0.062673,1.3018125057580046
st04,PP,-,t0,55.656,2.913841214788479,296.6426,17.296622800419733,0.01428881782718101,0.055656,1.428881782718101
